variant,intensityMode,taskMode,scenarioSeed,optimizerSeed,fixedErr,dfMHz,scanTimeSec,nFreq,heightResolutionKm,integrationGainDb,observabilityScore,optimizationFeasible,constraintViolation
full_system,weak,fast,3101,20260518,0,0.240080659156814,0.202061036118726,5,2.53850154351453,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260518,0,0.02,1.46175806633961,26,1.9914957159127,20.1703333929878,0.797880956641986,1,0
full_system,weak,hEs,3101,20260518,0,0.0831835606961372,1.23319195170749,13,1.199169832,21.9312459835446,0.780803284538901,1,0
full_system,weak,weakEs,3101,20260518,0,0.0745562664396979,4.90943252094818,15,1.22681766007521,27.3719264270474,0.883709030503384,1,0.36373125581894
full_system,weak,full_trace,3101,20260518,0,0.0330619516273992,3.65717314717789,32,1.65262580984532,22.6007138798507,0.721479562846482,1,0
full_system,weak,balanced,3101,20260518,0,0.0830753525340115,1.00864713757201,13,1.2275962111959,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3101,20260519,0,0.224944092249403,0.20308917053325,5,2.5935467380125,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260519,0,0.02,1.24049281193283,26,2.21541667909434,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3101,20260519,0,0.0733482412544373,2.20464839685415,15,1.199169832,22.6007138798507,0.828622419989339,1,0
full_system,weak,weakEs,3101,20260519,0,0.0789824883869498,3.28505771948643,14,1.51807107525513,25.6110138364906,0.757929559749326,1,0
full_system,weak,full_trace,3101,20260519,0,0.05,3.36,21,1.199169832,23.5411998265593,0.788657130468518,1,0
full_system,weak,balanced,3101,20260519,0,0.0702429278650231,1.49968686231418,15,1.199169832,21.1394335230684,0.652816680219169,1,0.24973905192848
full_system,weak,fast,3101,20260520,0,0.24082564095874,0.201601266400651,5,1.95224958260636,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260520,0,0.02,1.11937629751236,26,2.02405056402121,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3101,20260520,0,0.0923692794912321,1.19774765511488,12,1.199169832,21.9312459835446,0.780803284538901,1,0
full_system,weak,weakEs,3101,20260520,0,0.0923924784383893,3.5524569211511,12,2.44696820119907,27.3719264270474,0.883709030503384,1,0
full_system,weak,full_trace,3101,20260520,0,0.05,4.704,21,1.798754748,25.6110138364906,0.936500988320754,1,0.12
full_system,weak,balanced,3101,20260520,0,0.0944234184235052,0.864388742987146,12,1.20339329774203,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3101,20260521,0,0.231323845657947,0.205332986068859,5,3.22758446260521,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260521,0,0.0258359853549767,1.42690315636641,20,1.67976987898355,21.1394335230684,0.867102394504884,1,0
full_system,weak,hEs,3101,20260521,0,0.0926837482674449,1.81557651771034,12,1.199169832,24.1497334797082,0.939266677122013,1,0
full_system,weak,weakEs,3101,20260521,0,0.0893963429835152,3.27420810167173,12,1.2734660760014,25.6110138364906,0.757929559749326,1,0
full_system,weak,full_trace,3101,20260521,0,0.0456848215661804,3.0764965159195,23,1.199169832,23.6921585741014,0.799439898150102,1,0
full_system,weak,balanced,3101,20260521,0,0.0893963427347971,0.858899372192262,12,1.26785068838498,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3101,20260522,0,0.241059589053229,0.201346503969832,5,2.72999861171167,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260522,0,0.02,1.19805708403023,26,1.80315452832029,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3101,20260522,0,0.0846537544004488,1.385518759778,13,1.199169832,21.9312459835446,0.780803284538901,1,0
full_system,weak,weakEs,3101,20260522,0,0.0869430747408632,2.8128117459659,13,1.199169832,25.910646070265,0.779331862161785,1,0
full_system,weak,full_trace,3101,20260522,0,0.0435540452110965,3.52875126199128,25,1.199169832,23.1806333496276,0.762902382116258,1,0
full_system,weak,balanced,3101,20260522,0,0.0945671708593349,0.803956870195123,12,1.199169832,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3101,20260523,0,0.23616941456625,0.200930683854682,5,2.57577705367953,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260523,0,0.02,1.0960356413431,26,1.34671788644367,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3101,20260523,0,0.0884587248102224,1.94548982081367,12,1.24958370126803,24.1497334797082,0.939266677122013,1,0
full_system,weak,weakEs,3101,20260523,0,0.05,4.704,21,1.798754748,25.6110138364906,0.757929559749326,1,0.306666666666667
full_system,weak,full_trace,3101,20260523,0,0.0479750399208296,2.68806880178419,22,1.199169832,23.1806333496276,0.762902382116258,1,0
full_system,weak,balanced,3101,20260523,0,0.090283772710944,0.834735486251133,12,1.28861260852204,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3101,20260524,0,0.219484903903847,0.201733598870198,5,2.97190608088531,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3101,20260524,0,0.0208626818656142,1.33679445662662,24,2.62262369410744,20.1703333929878,0.797880956641986,1,0
full_system,weak,hEs,3101,20260524,0,0.0890347549772445,1.23034551105264,12,1.199169832,21.9312459835446,0.780803284538901,1,0
full_system,weak,weakEs,3101,20260524,0,0.0876015386083845,3.57147816927823,12,1.8041595865487,26.4542226934909,0.81815876382078,1,0
full_system,weak,full_trace,3101,20260524,0,0.02,4.78096988214456,53,1.35251911743328,21.9312459835446,0.673660427396044,1,0.138326162415372
full_system,weak,balanced,3101,20260524,0,0.0884757481675521,0.891931460135034,12,1.31143444347449,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3102,20260515,0,0.372065666559964,0.201147028770818,5,2.87876169978879,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3102,20260515,0,0.02,1.16912259460595,26,1.49801606346039,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3102,20260515,0,0.101752382118235,2.28695469102054,18,1.199169832,23.1806333496276,0.870045239259115,1,0
full_system,weak,weakEs,3102,20260515,0,0.154094103642142,4.0482598925921,12,1.58206493137989,27.7670118398841,0.911929417134579,1,0.12451663683114
full_system,weak,full_trace,3102,20260515,0,0.0595942748032055,3.03146542636592,31,1.90335147998326,21.9312459835446,0.673660427396044,1,0
full_system,weak,balanced,3102,20260515,0,0.15575822341538,0.855178144818391,12,1.39019561422306,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3102,20260516,0,0.384233910506165,0.203937241253348,5,2.81262879460402,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3102,20260516,0,0.02,1.19624095072368,26,1.199169832,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3102,20260516,0,0.159612157564216,2.15110321330996,12,1.199169832,24.1497334797082,0.939266677122013,1,0
full_system,weak,weakEs,3102,20260516,0,0.155383050048016,3.41767446705115,12,1.7680667028318,26.1909333062674,0.799352379019102,1,0
full_system,weak,full_trace,3102,20260516,0,0.0460727052458889,3.24097529220787,39,1.43260369444166,21.9312459835446,0.673660427396044,1,0
full_system,weak,balanced,3102,20260516,0,0.156762591748259,0.916325644358456,12,1.70390083233891,21.1394335230684,0.652816680219169,1,0
full_system,weak,fast,3102,20260517,0,0.373161358191906,0.204068658554191,5,2.74363164710019,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3102,20260517,0,0.02,1.14806287003517,26,2.18688121724223,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3102,20260517,0,0.156810226524326,1.76681466701996,12,1.199169832,23.6921585741014,0.906582755292959,1,0
full_system,weak,weakEs,3102,20260517,0,0.156440457830391,3.59856416298061,12,1.84528366563203,26.9654266347813,0.854673331055808,1,0
full_system,weak,full_trace,3102,20260517,0,0.0611296369284617,3.24854251949659,30,1.28533822185512,22.6007138798507,0.721479562846482,1,0
full_system,weak,balanced,3102,20260517,0,0.159211752094745,1.05705346638751,12,1.27458692732079,21.9312459835446,0.70937471311033,1,0
full_system,weak,fast,3102,20260518,0,0.383416264478934,0.201045902349148,5,3.87637774628428,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3102,20260518,0,0.02,1.46175806633961,26,1.9914957159127,20.1703333929878,0.797880956641986,1,0
full_system,weak,hEs,3102,20260518,0,0.1,1.8,18,1.199169832,21.1394335230684,0.724245251647741,1,0
full_system,weak,weakEs,3102,20260518,0,0.153067323629352,5.39544169509514,12,2.78177652673375,28.0127801399814,0.92948429571296,1,0.498733804193094
full_system,weak,full_trace,3102,20260518,0,0.0559979877435937,3.21942060519559,33,1.7962011702651,22.6007138798507,0.721479562846482,1,0
full_system,weak,balanced,3102,20260518,0,0.158792181920285,1.03788849591178,12,1.199169832,21.9312459835446,0.70937471311033,1,0
full_system,weak,fast,3102,20260519,0,0.397786891785991,0.202542069544998,5,1.68211082398745,18.9209460269048,0.815781859064629,1,0
full_system,weak,foEs,3102,20260519,0,0.02,1.24049281193283,26,2.21541667909434,18.9209460269048,0.708639001921772,1,0
full_system,weak,hEs,3102,20260519,0,0.134575431660107,2.11268825252484,14,1.199169832,23.1806333496276,0.870045239259115,1,0
full_system,weak,weakEs,3102,20260519,0,0.156355067985301,3.56672006785678,12,2.63832486890652,27.160033436348,0.868573816882,1,0
full_system,weak,full_trace,3102,20260519,0,0.0427877587868544,4.04882642711543,42,1.22361947757813,21.9312459835446,0.673660427396044,1,0
